Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
tunnels_logan_9ecbd18b		Yeah, the note he found on himselft when he woke up, perhaps it had been Logan that blocked this exit when he left him there.	game/level1.rpy	139	"[what]"
tunnels_logan_a51d209d		If so, then going back would not be any better, which made Quinn think how could the sight of that corridor be the better choice between the two.	game/level1.rpy	141	"[what]"
tunnels_logan_908545bd		He didn't want to find out. As hard as it was to go through this again, he returned to the entrance of the corridor, and went in.	game/level1.rpy	143	"[what]"
corridor1_35cee7a6		The floor, normally a sturdy structure, now sinks beneath Quinn's feet, slick with a combination of blood and bodily fluids.	game/level1.rpy	156	"[what]"
corridor1_649eb18c		He feels his stomach turn when he takes a step forward and feels something squishy get crushed by his foot, and he has to swallow his own vomit again.	game/level1.rpy	158	"[what]"
corridor1_82d06f94	q	Oh God...	game/level1.rpy	162	q "[what]"
corridor1_bd783de6		He had to move, get to the next shaft and keep moving like that until he reached the docks.	game/level1.rpy	164	"[what]"
corridor1_0a609d0f		The entrance to the next shaft was luckily very close, just a couple dozen steps away from him. As he was finally out of the ventilation system, he could at least move around with more freedom.	game/level1.rpy	166	"[what]"
corridor1_287da77f		Quinn took careful steps, trying to be as stealthy as possible, even though there was no one close, no one alive at least.	game/level1.rpy	168	"[what]"
corridor1_246f43bd		In a moment, he was already in front of the next shaft.	game/level1.rpy	170	"[what]"
corridor1_b112fb79		He went to open it, as he could do so by just flipping a couple of switches near it and pressing a confirmation button.	game/level1.rpy	172	"[what]"
corridor1_2aecea42		When we was about to press the button, the last step to open the shaft, he heard a noice behind him.	game/level1.rpy	174	"[what]"
corridor1_a2cbfdab		It was still far away, probably even on the previous room, but he was sure he heard something moving.	game/level1.rpy	176	"[what]"
corridor1_0168edd5		Quinn reacted by inertia, without really thinking, forgetting for a moment the contents of the letter.	game/level1.rpy	182	"[what]"
corridor1_024837ea		At first, there was nothing, but then, a familiar face popped up from the end of the corridor.	game/level1.rpy	184	"[what]"
corridor1_69171e1c		It was Alan, but there was something... unnerving about him.	game/level1.rpy	188	"[what]"
corridor1_cfdba7db		He was covered from head to toe in blood stains, some looked dry and some fresh.	game/level1.rpy	190	"[what]"
corridor1_6eda0211		And he was looking straight at Quinn, with the most crazed smile he had ever seen.	game/level1.rpy	192	"[what]"
corridor1_3ef6932c	q	Alan?...	game/level1.rpy	194	q "[what]"
corridor1_4a6a3b9a		Quinn muttered the name, but he refrained from calling out to him. But it was of no use, Alan immediately started sprinting towards Quinn.	game/level1.rpy	196	"[what]"
corridor1_ab12ad60		Quinn felt his heart skip a beat, and rushed to open the shaft.	game/level1.rpy	198	"[what]"
corridor1_05519720		He managed to get it open but Alan got to him before he could get down to enter	game/level1.rpy	200	"[what]"
corridor1_7e84c1f4		Quinn felt something piercing his shoulder, and he felt his body go numb. He looked at his shoulder, and saw a knife sticking out of it.	game/level1.rpy	205	"[what]"
corridor1_7c800bc4		He pushed Alan back, and empowered by pure adrenaline, managed to even make him tumble to the ground. Quinn used this moment to get inside the shaft and close it behind him.	game/level1.rpy	207	"[what]"
corridor1_a7e04d21		He started crawling as fast as possible to get away from him, but he noticed after a few seconds that Alan was not pursuing him.	game/level1.rpy	209	"[what]"
corridor1_a80577e2		Why was that, he did not understand, but he was grateful of it. 	game/level1.rpy	211	"[what]"
corridor1_cddb28fc		He had been stabbed in the shoulder, and the knife was still there. Quinn knew he had to remove it if he wanted to survive. The thought of being trapped in the shaft, covered in his own blood, was too much to bear. 	game/level1.rpy	213	"[what]"
corridor1_c436c95d		He was still having a hard time taking all in and know he had been stabbed! And he wasn't even allowed the time to process all of this. He took a deep breath and tried to calm himself down. He told himself that he had to be strong, that he had to survive.	game/level1.rpy	215	"[what]"
corridor1_b011f47d		He carefully reached up with his other hand and felt for the knife. He could feel the warm, sticky blood on his fingers. Taking another deep breath, Quinn gripped the handle of the knife and pulled it out in a swift motion.	game/level1.rpy	217	"[what]"
corridor1_4045dde2		The blood spurted out of the wound, and he felt himself getting dizzy. The pain was immense, making him drop the knife into a deep crevice.	game/level1.rpy	219	"[what]"
corridor1_e70c0e09		Perhaps due to his own deteriorating state of mind, he managed to put the pain behind and continue through the shaft.	game/level1.rpy	223	"[what]"
corridor1_bdeb59d6		But the mental pressure that came from the fact that he knew that Alan was still behind the other side of the shaft put enough pressure into Quinn that he soldiered through and advanced down the shaft.	game/level1.rpy	229	"[what]"
corridor1_9b07251e		Quinn pressed the button, and the door opened with a click.	game/level1.rpy	235	"[what]"
corridor1_ab1f4de7		He had to get on his knees to get in and he did so as fast as he could possibly manage	game/level1.rpy	237	"[what]"
corridor1_60788112		Quinn felt the need to look back, the curiosity getting the better of him, and how to blame him? He had just seen a scene straight out of the most terrible nightmares one could have, and still had no idea of exactly what was going on.	game/level1.rpy	247	"[what]"
corridor1_e09e651b		He soon regretted his decision.	game/level1.rpy	249	"[what]"
corridor1_3ef6932c_1	q	Alan?...	game/level1.rpy	253	q "[what]"
corridor1_5bf35d4d		Quinn muttered the name, but he refrained from calling out to him.	game/level1.rpy	255	"[what]"
corridor1_18b01079		Alan looked haggard, with blood all over his body, but one could tell, even from a distance, that there was a crazed smile on his face, as if he was having the time of his life.	game/level1.rpy	257	"[what]"
corridor1_7a2b5675		He was holding a knife, and was looking at the entrance of the shaft, as if he was waiting for someone to come out of it.	game/level1.rpy	259	"[what]"
corridor1_4fbdb2c7		Quinn felt his heart skip a beat, and his mind struggling to take this all in.	game/level1.rpy	265	"[what]"
corridor1_56c99b81		He had to move, quickly.	game/level1.rpy	267	"[what]"
tunnels_yselle_cbabd83b		An unknown amout of time passes before Quinn manages to wake up	game/level1.rpy	278	"[what]"
tunnels_yselle_d0e4d442	q	Ugh...my head	game/level1.rpy	283	q "[what]"
tunnels_yselle_21d56b27		Quinn grabs his head, as he has a splitting headache that threatens to turn the content of his stomach the opposite way.	game/level1.rpy	285	"[what]"
tunnels_yselle_65384040	q	What... eh? A note?	game/level1.rpy	287	q "[what]"
tunnels_yselle_b35f3064		He grabs the note with his hand, and recognizes Yselle's handwriting from this. He sees that same handrwiting in all of his performance reviews.	game/level1.rpy	292	"[what]"
tunnels_yselle_6033a62b		He reads it for a while but fails to make sense of it immediately	game/level1.rpy	294	"[what]"
tunnels_yselle_95a2aa40	q	But, what does this all mean? 'Keep to the shafts'? 'don't be seen'? 'red'-wait	game/level1.rpy	296	q "[what]"
tunnels_yselle_dc8c5ccd	q	That thing... I remember	game/level1.rpy	306	q "[what]"
tunnels_yselle_e0030e23		He glances around, and recognizes that he is not inside a room or the medical bay...	game/level1.rpy	308	"[what]"
tunnels_yselle_05be4400		He is inside a ventilation shaft.	game/level1.rpy	310	"[what]"
tunnels_yselle_d49d42ee		The ventilation shaft was a narrow, dark, and compressed passageway that wound its way through the heart of the spaceship.	game/level1.rpy	312	"[what]"
tunnels_yselle_38022ef0		It was barely large enough for a human to squat through, and the only light came from the faint glow of the emergency lights that were scattered at intervals along the walls.	game/level1.rpy	314	"[what]"
tunnels_yselle_ab8ed2f5	q	Just what the hell happened here?	game/level1.rpy	316	q "[what]"
tunnels_yselle_6afd1ed8		Had he not experienced the red eye's glance before, he would not have believed any of this to be anything but a joke, a prank played to him by some of the crew	game/level1.rpy	318	"[what]"
tunnels_yselle_25f60900		But he felt it in his guts, there was something else going on here	game/level1.rpy	320	"[what]"
tunnels_yselle_2d0aadb4	q	Alright, let's just do as she said, keep to the shafts... fuck	game/level1.rpy	322	q "[what]"
tunnels_yselle_0ef02a4d		There was one problem with that...Quinn had a problem with enclosed spaces, especifically, he suffered from claustrophobia.	game/level1.rpy	324	"[what]"
tunnels_yselle_d1bb0a4e	q	Well, this had to happened sooner or later, facing your fears... I should have gone to therapy sooner	game/level1.rpy	326	q "[what]"
tunnels_yselle_19de1921	q	Forget about it, let's see, the shafts are not connected to each other, they connect areas to other areas but they are not connected to each other, so I have to use the shaft to go to a room, and then enter the next shaft there	game/level1.rpy	328	q "[what]"
tunnels_yselle_e4e7d97e	q	Why did they really have to design this freaking ship like this...I have no idea where I am right now, so I guess I have to go to the next room and see, find out how far I am from the docks	game/level1.rpy	330	q "[what]"
tunnels_yselle_0770f8cb	q	Alright Quinn, you've got this... you've got this	game/level1.rpy	332	q "[what]"
tunnels_yselle_0d2ba8c9		The air in the shaft felt thick and heavy, as if he was walking through a swamp, and it was difficult to breathe. The metal walls grated against Quinn's skin as he had to advance some parts squatting, some parts crawling through the narrow space.	game/level1.rpy	337	"[what]"
tunnels_yselle_122f05da		Quinn's heart pounded in his chest, and breaths came in shallow gasps.	game/level1.rpy	339	"[what]"
tunnels_yselle_67be2b54		He had to swallow his own panic to be able to continue forward. And he did, until he finally found the end of this particular shaft. The shafts had the particularity of being easy to enter, as a ship so crowded like this one needed a way for emergency staff to move through rooms without having to navigate crowds of people.	game/level1.rpy	341	"[what]"
tunnels_yselle_11e97237		At the end of the shaft, a small door, barely enough to crawl out of, was a beacon of misguided hope for Quinn, who at this point only wished to be out of this horrible situation.	game/level1.rpy	343	"[what]"
tunnels_yselle_cf7e9488		But then, the smell, it hit him... A ventilation shaft does, well, ventilate, and the many smells of each room go through it until they are extinguished by the next room's smell. But this smell, it was not a smell that should be found here, it was metallic and acrid, leaving a foul taste in one's mouth.	game/level1.rpy	345	"[what]"
tunnels_yselle_23f3b8fb		It smelled of blood.	game/level1.rpy	347	"[what]"
tunnels_yselle_d267661a	q	...	game/level1.rpy	353	q "[what]"
tunnels_yselle_36d1c910		Quinn's heart skipped a beat, and he felt his stomach turn. He had to swallow his own vomit, and he felt his eyes water.	game/level1.rpy	355	"[what]"
tunnels_yselle_6bede0c8		This was the dining hall of the ship.	game/level1.rpy	357	"[what]"
tunnels_yselle_4b4f011f		The dining hall was a scene of carnage. The floor was slick with blood, and blood stains splattered the walls and tables. Some of the chairs were overturned, as if diners had fled in terror. Others remained upright, empty and silent.	game/level1.rpy	359	"[what]"
tunnels_yselle_566aa26d		The air was thick with the smell of blood and rot. It was a smell that made one's stomach churn and skin crawl.	game/level1.rpy	361	"[what]"
tunnels_yselle_d4a61f70		There were no bodies in sight, but it was clear that someone or something had been killed in this room. The blood was still fresh, and there were pools of it on the floor that had not yet had time to congeal.	game/level1.rpy	363	"[what]"
tunnels_yselle_07f562d5		A few of the tables were still set, with plates, silverware, and glasses arranged neatly. But the food that had been served on them was long gone, and the plates were now covered in a thick layer of blood.	game/level1.rpy	365	"[what]"
tunnels_yselle_a7b5a9ef		This... this was a massacre, a slaughter, a bloodbath. What the hell happened here?!	game/level1.rpy	367	"[what]"
tunnels_yselle_364330d4		As Quinn turns back as fast as he can, he can no longer hold his puke, and let's it all out inside the shaft, now filled with the combinated smells of blood and vomit.	game/level1.rpy	377	"[what]"
tunnels_yselle_25c4a879	q	...I-I can't...	game/level1.rpy	381	q "[what]"
tunnels_yselle_9125da5d		His breathing was ragged, he felt like he was about to pass out, but the memory of what happened before came to him. Who knew how things would look if he were to pass out again? He had to move, quickly.	game/level1.rpy	383	"[what]"
tunnels_yselle_6f87f1e4		He focused as much as possible on his survival, trying to forget about the smells and how it felt like the walls of the shaft moved and closed in on him. He moved forward...	game/level1.rpy	385	"[what]"
tunnels_yselle_4a80b189		Only to find that on the other side of the shaft, there were people moving around. He could hear the footsteps and the murmurs, and he used the fact that the door of the shaft could allow him to take a peek.	game/level1.rpy	387	"[what]"
tunnels_yselle_5e050e83		He soon regretted that.	game/level1.rpy	389	"[what]"
tunnels_yselle_0dbb681f		A group of crewmembers were walking towards the direction of the cargobay. But every single one of them had a strange look in their eyes, without focus, like they were mindless husks.	game/level1.rpy	393	"[what]"
tunnels_yselle_070135e9		Their faces were all full of lacerations, and the accumulated blood from all of them was starting to turn the floor of the corridor red.	game/level1.rpy	395	"[what]"
tunnels_yselle_c6efb993		They did not seem to mind their own wounds, even as some of them looked like they could be fatal.	game/level1.rpy	397	"[what]"
tunnels_yselle_2e8e6686		He felt his heart skip a beat, and his mind struggling to accept this.	game/level1.rpy	399	"[what]"
tunnels_yselle_6e8ec6ca	q	The note...	game/level1.rpy	401	q "[what]"
tunnels_yselle_cecb437b		Yeah, the note he found on himselft when he woke up, perhaps that's what Yselle meant by keeping to the shafts and don't let them see you	game/level1.rpy	403	"[what]"
tunnels_yselle_3f39ed93		If so, then going back would not be any better, which made Quinn think how could the sight of that dining hall be the better choice between the two.	game/level1.rpy	405	"[what]"
tunnels_yselle_dd2a6409		He didn't want to find out. As hard as it was to go through this again, he returned to the entrance of the hall, and went in.	game/level1.rpy	407	"[what]"
b_dining_hall_c2da75b9		The floor was so full of blood and fat that if Quinn didn't actively balance himself, he would fall headfirst into the gore.	game/level1.rpy	420	"[what]"
b_dining_hall_da88b57a		He has to swallow his own vomit when he sees what appears to be guts tangled in one of the chairs.	game/level1.rpy	422	"[what]"
b_dining_hall_82d06f94	q	Oh God...	game/level1.rpy	426	q "[what]"
b_dining_hall_bd783de6		He had to move, get to the next shaft and keep moving like that until he reached the docks.	game/level1.rpy	428	"[what]"
b_dining_hall_5692ef1b		The entrance to the next shaft was near, close to the entrance to the kitchen area of the hall. As he was finally out of the ventilation system, he could at least move around with more freedom.	game/level1.rpy	430	"[what]"
b_dining_hall_287da77f		Quinn took careful steps, trying to be as stealthy as possible, even though there was no one close, no one alive at least.	game/level1.rpy	434	"[what]"
b_dining_hall_246f43bd		In a moment, he was already in front of the next shaft.	game/level1.rpy	436	"[what]"
b_dining_hall_b112fb79		He went to open it, as he could do so by just flipping a couple of switches near it and pressing a confirmation button.	game/level1.rpy	438	"[what]"
b_dining_hall_2aecea42		When we was about to press the button, the last step to open the shaft, he heard a noice behind him.	game/level1.rpy	440	"[what]"
b_dining_hall_a2cbfdab		It was still far away, probably even on the previous room, but he was sure he heard something moving.	game/level1.rpy	442	"[what]"
b_dining_hall_0168edd5		Quinn reacted by inertia, without really thinking, forgetting for a moment the contents of the letter.	game/level1.rpy	448	"[what]"
b_dining_hall_be2174b1		At first, there was nothing to be seen, but when he heard a noise again coming from the ground, he saw something that made his brain feel a shock.	game/level1.rpy	450	"[what]"
b_dining_hall_82cbee77		It was a ball of flesh, with two eyes that looked straight at Quinn.	game/level1.rpy	455	"[what]"
b_dining_hall_76c5ad12		He felt an instinctive horror at that creature, like this was not something that should exist.	game/level1.rpy	457	"[what]"
b_dining_hall_9536b587	"???"	Run!	game/level1.rpy	459	"???" "[what]"
b_dining_hall_ba8859c3	q	What?	game/level1.rpy	461	q "[what]"
b_dining_hall_de849220		Quinn heard a voice that took him out of the trance he entered when looking at the creature. When he looked up, he saw Mr. Han, one of the senior welders in the ship, standing above the creature with a leg up.	game/level1.rpy	463	"[what]"
b_dining_hall_4cdbb9f7	han	...	game/level1.rpy	467	han "[what]"
b_dining_hall_ef1a1609		With a powerful stomp, Mr. Han crushed the creature instantly, scateering blood all around as if it had been made purely out of gore.	game/level1.rpy	471	"[what]"
b_dining_hall_f4087f4d	han	You have to run now boy	game/level1.rpy	476	han "[what]"
b_dining_hall_752c893f	q	What? Mr. Han, just what is...	game/level1.rpy	480	q "[what]"
b_dining_hall_bf0fb6d9	han	They are coming boy! Just run! Go in there!	game/level1.rpy	482	han "[what]"
b_dining_hall_13711837		Quinn didn't lose the opportunity and open the shaft and went inside, leaving it open so that Mr. Han could get to safety as well.	game/level1.rpy	484	"[what]"
b_dining_hall_294c1ed4		But the shaft's door closed violently, Quinn hearing the clicking sound it made when it got closed for good.	game/level1.rpy	486	"[what]"
b_dining_hall_8a025009		He hurried to reopen it from the inside but he heard Mr. Han's voice again.	game/level1.rpy	488	"[what]"
b_dining_hall_627dda3d	han	Get to the docks, we'll meet there.	game/level1.rpy	490	han "[what]"
b_dining_hall_5e232491		After he said that, a screeching sound was heard.	game/level1.rpy	492	"[what]"
b_dining_hall_61c322f5	han	Go now, run!	game/level1.rpy	494	han "[what]"
b_dining_hall_be21c20a		Quinn was partially reluctant to leave his savior there, but his survival instinct kicked in, and he heeded the words of Mr. Han, rushing forward into the shaft.	game/level1.rpy	496	"[what]"
b_dining_hall_9b07251e		Quinn pressed the button, and the door opened with a click.	game/level1.rpy	502	"[what]"
b_dining_hall_de5e8260		He had to get on his knees to get in and he did so as fast as he could possibly manage.	game/level1.rpy	504	"[what]"
corridor3_ccad3edf		He knew that he had to keep moving, but the claustrophobia was getting to him. He felt like the walls were closing in on him, and he couldn't breathe.	game/level2.rpy	31	"[what]"
corridor3_08a9f77a		This shaft had even less space than the one before, he had to crawl through most of it. And because this one went down, he had to crawl downwards, which was even more uncomfortable.	game/level2.rpy	33	"[what]"
corridor3_0b31aa31		Also, as this shaft went below the floor of the room above, there was blood leaking out from the crevices in the ceiling.	game/level2.rpy	35	"[what]"
corridor3_c124c3de		Quinn crawled slowly through the shaft, his heart pounding in his chest. He could feel the blood dripping onto his skin, and the smell of it was making him gag.	game/level2.rpy	37	"[what]"
corridor3_8fbb0875	q	I have to get out of here, I have to get out of here now.	game/level2.rpy	41	q "[what]"
corridor3_ecd6f1c1		The pain was also getting worse due to the crawling	game/level2.rpy	45	"[what]"
corridor3_072441bc		He stopped crawling and took a deep breath. He tried to calm himself down, but it was no use. The claustrophobia was becoming too intense.	game/level2.rpy	47	"[what]"
corridor3_9dbf72f7		He clawed at the walls, trying to find a way out, but there was none.	game/level2.rpy	51	"[what]"
corridor3_5cb88919		He tried to focus on another thoughts, unsuccessfully.	game/level2.rpy	55	"[what]"
corridor3_d10c1e20		He took a deep breath and closed his eyes. He focused on his breathing and tried to relax. Even though he could not manage to calm himself, he could at least breathe again.	game/level2.rpy	57	"[what]"
corridor3_79d28132		After managing to get his breathing under control, Quinn resumed his journey through the narrow ventilation shaft, until he finally reached the exit, and took a glance from the slits in the door.	game/level2.rpy	59	"[what]"
cameraroom_fa153d51		Quinn took a glance from the slits in the door, and found that this room looked particularly untouched, there is no one to be seen.	game/level2.rpy	67	"[what]"
cameraroom_890e7960	q	Finally, an open space to breathe...	game/level2.rpy	71	q "[what]"
cameraroom_28bfc0ff		He steps out of the shaft with confidence, and looks around a bit more.	game/level2.rpy	73	"[what]"
cameraroom_22273bc4		This is the Surveillance Room, where the cameras to most of the ship are located. Not all of the cameras are here, as the security team has their own camera room, but this one is often used to locate team members quickly.	game/level2.rpy	75	"[what]"
cameraroom_f86e35bf		Quinn takes a moment to breathe in air, something he felt like a scarce commodity while stuffed in the ventilation.	game/level2.rpy	77	"[what]"
cameraroom_4ea8b657	"???"	You should be more careful when entering a room kid	game/level2.rpy	79	"???" "[what]"
cameraroom_4016c254	q	Who's that?!	game/level2.rpy	84	q "[what]"
cameraroom_62a51d7f		Quinn felt his heart stop for a moment, scared that he had just made a deadly mistake. He turned around to the source of that voice, only to find a wounded old man hiding beneath a desk.	game/level2.rpy	86	"[what]"
cameraroom_18840c13	q	Mr. Han?! What happened to you?!	game/level2.rpy	91	q "[what]"
cameraroom_abf5d79a		Mr.Han, one of the senior welders in the ship. His face was a mess, with bloody wounds all over it, some of them already colored black.	game/level2.rpy	93	"[what]"
cameraroom_ca445ab2	han	I... tried to find Ladeeva, I had already helped some other survivors get to the docks, but she wasn't there.	game/level2.rpy	95	han "[what]"
cameraroom_9b4fc4d0	han	Hoped... she was still alive, and I found her, but...	game/level2.rpy	97	han "[what]"
cameraroom_3241b411		Han blinks heavily a couple of times, and it's obvious he doesn't want to say the words.	game/level2.rpy	101	"[what]"
cameraroom_4ac41992	han	It was right in front of me... And they got me good when I ran to the ventilation, I won't... last much longer.	game/level2.rpy	103	han "[what]"
cameraroom_1c14dc25	q	Mr. Han, I-I can help you, here, let me just find something for the wounds-	game/level2.rpy	105	q "[what]"
cameraroom_20447d52	han	Don't fool yourself... Quinn, right? You seem like a good kid, don't waste your time pointlessly and just go.	game/level2.rpy	107	han "[what]"
cameraroom_d267661a	q	...	game/level2.rpy	109	q "[what]"
cameraroom_7370b1c5		Quinn didn't want to leave the old man to his fate, but he was right, those wounds were not the kind of stuff you treated on the go, this room was going to be his resting place.	game/level2.rpy	111	"[what]"
cameraroom_8a183724	q	I'm sorry...	game/level2.rpy	113	q "[what]"
cameraroom_4b2a04c0	han	Me too...just take this route, it will take you to the entrance of the docks, the others have sealed it so... you only need to call them out from the outside.	game/level2.rpy	115	han "[what]"
cameraroom_fc3d0e9c	q	Won't they suspect I'm like... the other ones?	game/level2.rpy	117	q "[what]"
cameraroom_8d319aab	han	No, if you speak... then you are good.	game/level2.rpy	119	han "[what]"
cameraroom_e2267786		Quinn wanted to ask his meaning but refrained himself from doing so.	game/level2.rpy	121	"[what]"
cameraroom_907a8f0f		He stepped right in front of the entrance to the next shaft, steeling his mind to the fact that not only he'd be leaving Mr. Han to die alone, but also that he had no other choice but to enter again one of those cramped spaces.	game/level2.rpy	123	"[what]"
cameraroom_154bd7c6		There was a screen with the cameras, perhaps he could use that to gain an idea of what he was facing?	game/level2.rpy	125	"[what]"
cameraroom_cd91fb4c		But he thought again, somehow it felt like if he did so, he would look at something he would regret	game/level2.rpy	131	"[what]"
cameraroom_eab8d6ef	q	Goodbye Mr. Han... thank you, and I'm sorry	game/level2.rpy	133	q "[what]"
cameraroom_e605b060		The old man laughed	game/level2.rpy	135	"[what]"
cameraroom_ebc69b20	han	Yes yes, go on, don't tell anyone about this, it will leave a sour taste.	game/level2.rpy	137	han "[what]"
cameraroom_16770622		Quinn smiled wryly, and entered the shaft.	game/level2.rpy	139	"[what]"
cameraroom_915cfe98		Quinn felt he needed to have at least an idea of the situation or he wouldn't be able to make it. What if he ran into another Alan?	game/level2.rpy	145	"[what]"
cameraroom_7222006e		He directed a brief look at the control panel which showed all the active cameras. More than half of them only showed a gruesome scenario, rooms full of blood and without any bodies to be seen.	game/level2.rpy	147	"[what]"
cameraroom_d505411a		But on one camera, he saw Alan, running like a madman, going from one area to another while limping from one leg, perhaps due to their encounter a few minutes ago.	game/level2.rpy	149	"[what]"
cameraroom_a4890318		And on another camera...	game/level2.rpy	151	"[what]"
cameraroom_1dbfd447	han	NO! Don't look at them!	game/level2.rpy	153	han "[what]"
cameraroom_c6dcf1c3		Quinn wanted to retort, but he found the words drowning in his own throat.	game/level2.rpy	155	"[what]"
cameraroom_e7cdaedd		The eye, once again, appeared inside of his own mind.	game/level2.rpy	167	"[what]"
